"playerid","bbrefid","name","player_url"
eganji01,eganji01,Jim Egan,https://www.baseball-reference.com/players/e/eganji01.shtml
eland01,eland01,Frederick Ehlen,https://www.baseball-reference.com/players/e/eland01.shtml
elyha01,elyha01,Harry Ely,https://www.baseball-reference.com/players/e/elyha01.shtml
emausbr01,emausbr01,Brad Emaus,https://www.baseball-reference.com/players/e/emausbr01.shtml
exposlu01,exposlu01,Luis Exposito,https://www.baseball-reference.com/players/e/exposlu01.shtml
englije01,englije01,Jesse English,https://www.baseball-reference.com/players/e/englije01.shtml
evans01,evans01,Evans,https://www.baseball-reference.com/players/e/evans01.shtml
evansbi99,evansbi99,Billy Evans,https://www.baseball-reference.com/players/e/evansbi99.shtml
ewellge01,ewellge01,George Ewell,https://www.baseball-reference.com/players/e/ewellge01.shtml
faginfr01,faginfr01,Joe Fagin,https://www.baseball-reference.com/players/f/faginfr01.shtml
fairge01,fairge01,George Fair,https://www.baseball-reference.com/players/f/fairge01.shtml
farleto01,farleto01,Lawrence Farley,https://www.baseball-reference.com/players/f/farleto01.shtml
farrebi01,farrebi01,Bill Farrell,https://www.baseball-reference.com/players/f/farrebi01.shtml
fast01,fast01,Frederick Fass,https://www.baseball-reference.com/players/f/fast01.shtml
feeja01,feeja01,Jack Fee,https://www.baseball-reference.com/players/f/feeja01.shtml
fessewa99,fessewa99,Wally Fessenden,https://www.baseball-reference.com/players/f/fessewa99.shtml
fieldge01,fieldge01,George Fields,https://www.baseball-reference.com/players/f/fieldge01.shtml
firthte01,firthte01,John Firth,https://www.baseball-reference.com/players/f/firthte01.shtml
fishe01,fishe01,John Fischer,https://www.baseball-reference.com/players/f/fishe01.shtml
fishech03,fishech03,Charles Fisher,https://www.baseball-reference.com/players/f/fishech03.shtml
fitzgde01,fitzgde01,Dennis Fitzgerald,https://www.baseball-reference.com/players/f/fitzgde01.shtml
fitzgjo03,fitzgjo04,John Fitzgerald,https://www.baseball-reference.com/players/f/fitzgjo04.shtml
fitzgwa01,fitzgjo01,Warren Fitzgerald,https://www.baseball-reference.com/players/f/fitzgjo01.shtml
flahema01,flahema01,Martin Flaherty,https://www.baseball-reference.com/players/f/flahema01.shtml
flynnjo01,flynnjo01,Joe Flynn,https://www.baseball-reference.com/players/f/flynnjo01.shtml
fogelho99,fogelho99,Horace Fogel,https://www.baseball-reference.com/players/f/fogelho99.shtml
forbepj01,forbep.01,P. J. Forbes,https://www.baseball-reference.com/players/f/forbep.01.shtml
forsyed01,forsyed01,Ed Forsyth,https://www.baseball-reference.com/players/f/forsyed01.shtml
fostero02,fostero02,Robert Foster,https://www.baseball-reference.com/players/f/fostero02.shtml
fosteru99,fosteru99,Rube Foster,https://www.baseball-reference.com/players/f/fosteru99.shtml
fournhe01,fournhe01,Henry Fournier,https://www.baseball-reference.com/players/f/fournhe01.shtml
fousebi01,fousebi01,Bill Fouser,https://www.baseball-reference.com/players/f/fousebi01.shtml
foxhe01,foxhe01,Jacob Fox,https://www.baseball-reference.com/players/f/foxhe01.shtml
foxma01,foxma01,Matt Fox,https://www.baseball-reference.com/players/f/foxma01.shtml
francos01,francos01,Ossie France,https://www.baseball-reference.com/players/f/francos01.shtml
frank01,frank01,Franklin,https://www.baseball-reference.com/players/f/frank01.shtml
frazge99,frazege99,George Frazier,https://www.baseball-reference.com/players/f/frazege99.shtml
frazije01,frazije01,Jeff Frazier,https://www.baseball-reference.com/players/f/frazije01.shtml
freemju02,freemju02,Justin Freeman,https://www.baseball-reference.com/players/f/freemju02.shtml
frencbi01,frencbi01,Bill French,https://www.baseball-reference.com/players/f/frencbi01.shtml
freyji99,freyji99,Jim Frey,https://www.baseball-reference.com/players/f/freyji99.shtml
frickfo99,frickfo99,Ford Frick,https://www.baseball-reference.com/players/f/frickfo99.shtml
friespe01,friespe01,Pete Fries,https://www.baseball-reference.com/players/f/friespe01.shtml
fuchsju99,fuchsju99,Judge Fuchs,https://www.baseball-reference.com/players/f/fuchsju99.shtml
fulleed01,fulleed01,Ed Fuller,https://www.baseball-reference.com/players/f/fulleed01.shtml
fulmewa01,fulmewa01,Washington Fulmer,https://www.baseball-reference.com/players/f/fulmewa01.shtml
furcara01,furcara02,Rafael Furcal,https://www.baseball-reference.com/players/f/furcara02.shtml
gaffnjo99,gaffnjo99,John Gaffney,https://www.baseball-reference.com/players/g/gaffnjo99.shtml
galanma99,galanma99,Matt Galante,https://www.baseball-reference.com/players/g/galanma99.shtml
gallash01,gallash01,Shorty Gallagher,https://www.baseball-reference.com/players/g/gallash01.shtml
